candidate_id,rank,score,reasoning
CAND_0011687,1,350.08328957690014,"Top-tier candidate possessing 7.8 years of industry experience, including production systems built at Niramai. Strong background in TensorFlow aligns perfectly with the JD, and their 89% recruiter response rate demonstrates high availability."
CAND_0052682,2,345.28078973849995,"Superb ML engineer with 6.6 years of experience specializing in QLoRA. Their hands-on work with Semantic Search at Aganitha reflects direct relevance to Redrob's ranking system, supported by 88% prompt responsiveness."
CAND_0018499,3,344.71275205124994,"Strongly recommended for the intelligence layer due to 7.2 years of background in Deep Learning. Having successfully deployed search models at Zomato, they are a ready-to-scale shipper with a 15-day notice buyout."
CAND_0006418,4,335.77819840994,"An outstanding fit with 5.7 years of experience as a Machine Learning Engineer, demonstrating deep expertise in Semantic Search and Embeddings. Proven shipper who built retrieval platforms at Verloop.io, backed by a quick 60-day notice period."
CAND_0064326,5,332.82817919999997,"Matches all critical requirements with 7.6 years of experience and expert proficiency in scikit-learn. Their career history at Sarvam AI shows strong product focus, and they maintain a highly active GitHub and a 45-day notice period."
CAND_0077337,6,331.89943136229,"Matches all critical requirements with 7.0 years of experience and expert proficiency in Semantic Search. Their career history at Paytm shows strong product focus, and they maintain a highly active GitHub and a 60-day notice period."
CAND_0046064,7,321.42293920000003,"An outstanding fit with 8.9 years of experience as a Senior NLP Engineer, demonstrating deep expertise in Python and Image Classification. Proven shipper who built retrieval platforms at Salesforce, backed by a quick 30-day notice period."
CAND_0088025,8,312.56419485059996,"Strongly recommended for the intelligence layer due to 8.6 years of background in Pinecone. Having successfully deployed search models at Yellow.ai, they are a ready-to-scale shipper with a 90-day notice buyout."
CAND_0071974,9,312.20866907999994,"An outstanding fit with 7.8 years of experience as a Senior AI Engineer, demonstrating deep expertise in LoRA and Learning to Rank. Proven shipper who built retrieval platforms at Netflix, backed by a quick 45-day notice period."
CAND_0093912,10,311.345595,"An outstanding fit with 5.3 years of experience as a Senior Data Scientist, demonstrating deep expertise in Milvus and Embeddings. Proven shipper who built retrieval platforms at Razorpay, backed by a quick 30-day notice period."
CAND_0055905,11,297.18314520394506,"Top-tier candidate possessing 8.1 years of industry experience, including production systems built at Flipkart. Strong background in Elasticsearch aligns perfectly with the JD, and their 87% recruiter response rate demonstrates high availability."
CAND_0013536,12,288.830811488472,"Top-tier candidate possessing 14.1 years of industry experience, including production systems built at Haptik. Strong background in PyTorch aligns perfectly with the JD, and their 87% recruiter response rate demonstrates high availability."
CAND_0099806,13,285.45641797364993,"Superb ML engineer with 4.6 years of experience specializing in LoRA. Their hands-on work with Statistical Modeling at Mad Street Den reflects direct relevance to Redrob's ranking system, supported by 76% prompt responsiveness."
CAND_0039754,14,280.8444953314,"Strongly recommended for the intelligence layer due to 16.2 years of background in Fine-tuning LLMs. Having successfully deployed search models at Meta, they are a ready-to-scale shipper with a 30-day notice buyout."
CAND_0081846,15,271.2612111,"An outstanding fit with 6.7 years of experience as a Lead AI Engineer, demonstrating deep expertise in Data Science and Information Retrieval. Proven shipper who built retrieval platforms at Razorpay, backed by a quick 30-day notice period."
CAND_0061655,16,267.166012938,"Matches all critical requirements with 4.6 years of experience and expert proficiency in Haystack. Their career history at Krutrim shows strong product focus, and they maintain a highly active GitHub and a 15-day notice period."
CAND_0036437,17,258.05216976,"Matches all critical requirements with 4.8 years of experience and expert proficiency in OpenSearch. Their career history at Rephrase.ai shows strong product focus, and they maintain a highly active GitHub and a 30-day notice period."
CAND_0002025,18,256.99421793045,"Superb ML engineer with 5.9 years of experience specializing in FAISS. Their hands-on work with TensorFlow at Apple reflects direct relevance to Redrob's ranking system, supported by 80% prompt responsiveness."
CAND_0049538,19,254.40214788449998,"Matches all critical requirements with 5.8 years of experience and expert proficiency in LlamaIndex. Their career history at Saarthi.ai shows strong product focus, and they maintain a highly active GitHub and a 30-day notice period."
CAND_0081686,20,253.00408320000003,"An outstanding fit with 6.0 years of experience as a Search Engineer, demonstrating deep expertise in Machine Learning and Kubeflow. Proven shipper who built retrieval platforms at Netflix, backed by a quick 60-day notice period."
CAND_0042029,21,241.98780557952,"Highly qualified Senior Data Scientist with 6.5 years of experience and strong skills in YOLO. Their solid track record at Flipkart shows reliable product delivery, though their 45-day notice period is a minor consideration."
CAND_0010685,22,238.66974920250004,Brings 6.7 years of experience including significant Python and Prompt Engineering systems deployed at Rephrase.ai. Highly responsive candidate (83%) who is open to hybrid work options.
CAND_0053591,23,236.954895080904,"Highly qualified AI Engineer with 5.3 years of experience and strong skills in LangChain. Their solid track record at Ola shows reliable product delivery, though their 60-day notice period is a minor consideration."
CAND_0011162,24,236.02143312000004,"Strong fit for the ranking team with 5.8 years of experience and robust knowledge of FAISS. Demonstrated system design capabilities at upGrad, combined with an active platform presence."
CAND_0007009,25,233.02383439103997,"Strong fit for the ranking team with 7.9 years of experience and robust knowledge of Statistical Modeling. Demonstrated system design capabilities at Wysa, combined with an active platform presence."
CAND_0050876,26,230.695133366412,"Strong fit for the ranking team with 6.0 years of experience and robust knowledge of Qdrant. Demonstrated system design capabilities at Freshworks, combined with an active platform presence."
CAND_0081053,27,227.916857938,"Highly qualified NLP Engineer with 5.4 years of experience and strong skills in LoRA. Their solid track record at Glance shows reliable product delivery, though their 90-day notice period is a minor consideration."
CAND_0040887,28,226.78756460800003,"Strong fit for the ranking team with 4.7 years of experience and robust knowledge of Reinforcement Learning. Demonstrated system design capabilities at Netflix, combined with an active platform presence."
CAND_0078042,29,225.5975074584001,A proven backend/ML developer offering 4.7 years of experience and deep familiarity with OpenSearch. They have a clean career trajectory at PolicyBazaar and a manageable 30-day notice period.
CAND_0074735,30,224.67792479616003,"Solid ML professional with 5.5 years of experience. Experienced with RAG and ranking infrastructure from their tenure at Rephrase.ai, matching our core requirements well."
CAND_0095619,31,223.0467956640001,"Highly qualified NLP Engineer with 15.6 years of experience and strong skills in Feature Engineering. Their solid track record at Nykaa shows reliable product delivery, though their 30-day notice period is a minor consideration."
CAND_0018549,32,222.53057082332998,A proven backend/ML developer offering 6.8 years of experience and deep familiarity with Weaviate. They have a clean career trajectory at Uber and a manageable 60-day notice period.
CAND_0020708,33,221.75912442599991,A proven backend/ML developer offering 4.2 years of experience and deep familiarity with NLP. They have a clean career trajectory at PolicyBazaar and a manageable 30-day notice period.
CAND_0027691,34,220.44612227714995,Brings 6.5 years of experience including significant Python and LoRA systems deployed at Haptik. Highly responsive candidate (68%) who is open to hybrid work options.
CAND_0068932,35,218.17060319999996,A proven backend/ML developer offering 5.2 years of experience and deep familiarity with MLOps. They have a clean career trajectory at Krutrim and a manageable 30-day notice period.
CAND_0020877,36,217.37271204000004,Brings 5.1 years of experience including significant Python and QLoRA systems deployed at CRED. Highly responsive candidate (66%) who is open to hybrid work options.
CAND_0062247,37,216.45116970047997,Brings 7.3 years of experience including significant Python and Image Classification systems deployed at Google. Highly responsive candidate (78%) who is open to hybrid work options.
CAND_0066999,38,215.91788645624996,A proven backend/ML developer offering 5.9 years of experience and deep familiarity with Image Classification. They have a clean career trajectory at Microsoft and a manageable 15-day notice period.
CAND_0037160,39,214.702125,A proven backend/ML developer offering 6.0 years of experience and deep familiarity with TTS. They have a clean career trajectory at Haptik and a manageable 30-day notice period.
CAND_0055992,40,210.85160931119995,"Highly qualified AI Engineer with 16.9 years of experience and strong skills in Information Retrieval. Their solid track record at CRED shows reliable product delivery, though their 60-day notice period is a minor consideration."
CAND_0072660,41,208.5577578,A proven backend/ML developer offering 7.1 years of experience and deep familiarity with Feature Engineering. They have a clean career trajectory at Unacademy and a manageable 30-day notice period.
CAND_0068811,42,207.88528793999996,A proven backend/ML developer offering 8.0 years of experience and deep familiarity with Vector Search. They have a clean career trajectory at Freshworks and a manageable 30-day notice period.
CAND_0076163,43,205.97391067545598,"Highly qualified NLP Engineer with 6.9 years of experience and strong skills in Weaviate. Their solid track record at Ola shows reliable product delivery, though their 60-day notice period is a minor consideration."
CAND_0030031,44,205.272144,"Solid ML professional with 5.7 years of experience. Experienced with Information Retrieval and ranking infrastructure from their tenure at Microsoft, matching our core requirements well."
CAND_0051292,45,204.67801807200001,"Strong fit for the ranking team with 5.2 years of experience and robust knowledge of pgvector. Demonstrated system design capabilities at Freshworks, combined with an active platform presence."
CAND_0037944,46,204.28879679999994,"Highly qualified Senior Data Scientist with 4.9 years of experience and strong skills in Vector Search. Their solid track record at Vedantu shows reliable product delivery, though their 30-day notice period is a minor consideration."
CAND_0064904,47,202.99359353856,Brings 4.9 years of experience including significant Python and Embeddings systems deployed at LinkedIn. Highly responsive candidate (78%) who is open to hybrid work options.
CAND_0080766,48,201.91243318400004,"Solid ML professional with 8.8 years of experience. Experienced with Search Backend and ranking infrastructure from their tenure at Salesforce, matching our core requirements well."
CAND_0044855,49,201.57772799999998,"Strong fit for the ranking team with 6.6 years of experience and robust knowledge of Object Detection. Demonstrated system design capabilities at Flipkart, combined with an active platform presence."
CAND_0076482,50,200.94939940607995,"Solid ML professional with 6.6 years of experience. Experienced with Feature Engineering and ranking infrastructure from their tenure at Flipkart, matching our core requirements well."
CAND_0074225,51,200.12713528499998,Brings 4.3 years of software experience and intermediate competence in Recommendation Systems from Unacademy. A reliable engineering candidate with verified contact channels.
CAND_0071939,52,197.05183874999997,Offers 6.4 years of background in backend systems at Krutrim with growing exposure to OpenSearch. A strong potential addition to our scaling team.
CAND_0075574,53,195.78490559999997,Brings 5.7 years of software experience and intermediate competence in Hugging Face Transformers from Haptik. A reliable engineering candidate with verified contact channels.
CAND_0036184,54,195.23504,Offers 6.0 years of background in backend systems at CRED with growing exposure to QLoRA. A strong potential addition to our scaling team.
CAND_0096142,55,192.42413889434997,"Good baseline fit with 5.0 years of experience. Skilled in LoRA with a background at upGrad, though less focused on evaluation metrics compared to top tier."
CAND_0083307,56,191.51490239639995,Brings 7.8 years of software experience and intermediate competence in OpenCV from CRED. A reliable engineering candidate with verified contact channels.
CAND_0061257,57,191.32872000000003,"Good baseline fit with 8.0 years of experience. Skilled in PEFT with a background at LinkedIn, though less focused on evaluation metrics compared to top tier."
CAND_0051615,58,190.94268679516796,Solid developer with 4.6 years of experience who has worked with RAG at Meta. Stated notice period of 60 days is standard.
CAND_0037566,59,190.76660459999997,Solid developer with 6.9 years of experience who has worked with Pinecone at LinkedIn. Stated notice period of 15 days is standard.
CAND_0007052,60,188.00647074,Brings 6.5 years of software experience and intermediate competence in Data Science from Unacademy. A reliable engineering candidate with verified contact channels.
CAND_0015528,61,185.6730095649,Offers 7.4 years of background in backend systems at Krutrim with growing exposure to Weaviate. A strong potential addition to our scaling team.
CAND_0096172,62,185.63126524799995,Solid developer with 5.2 years of experience who has worked with OpenSearch at Krutrim. Stated notice period of 45 days is standard.
